GENE	Sample1
BBS7	30
BBS9	45
BBX	210
BCAM	26
BCAN	49
BCAP29	69
BCAP31	236
BCAR1	53
BCAR3	36
BCAR4	0
BCAS1	364
BCAS2	32
BCAS3	62
BCAS4	7
BCAT1	201
BCAT2	26
BCCIP	49
BCDIN3D	7
BCHE	7
BCKDHA	31
BCKDHB	44
BCKDK	31
BCL10	32
BCL11A	2
BCL11B	4
BCL2A1	39
BCL2L10	1
BCL2L11	53
BCL2L12	4
BCL2L13	127
BCL2L14	7
BCL2L15	28
BCL2L1	132
BCL2L2	102
BCL2	72
BCL3	20
BCL6B	8
BCL6	223
BCL7A	11
BCL7B	20
BCL7C	36
BCL9L	55
BCL9	30
BCLAF1	434
BCO1	8
BCO2	47
BCORL1	10
BCORP1	6
BCOR	88
BCR	261
BCS1L	11
BDH1	31
BDH2	56
BDKRB1	1
BDKRB2	11
BDNF-AS	2
BDNF	3
BDP1	190
BEAN1	13
BECN1	87
BEGAIN	5
BEND2	15
BEND3	2
BEND4	1
BEND5	0
BEND6	28
BEND7	23
BEST1	42
BEST2	0
BEST3	10
BEST4	3
BET1L	40
BET1	41
TRAPPC3L	0
BEX1	37
BEX2	19
BEX4	87
BEX5	5
LINC00293	0
BFAR	42
BFSP1	1
BFSP2	1
BGLAP	0
BGN	46
BHLHA15	0
BHLHB9	19
BHLHE22	0
BHLHE23	0
BHLHE40	219
BHLHE41	91
BHMT2	13
BHMT	1
BICC1	7
BICD1	19
BICD2	95
BID	34
BIK	3
BIN1	115
BIN2	25
BIN3	9
BIRC2	77
BIRC3	9
BIRC5	4
BIRC6	533
BIRC7	11
BIRC8	0
BIVM	48
BLCAP	71
BLID	0
BLK	0
BLMH	23
BLM	16
BLNK	16
BLOC1S1	41
BLOC1S2	55
BLOC1S3	14
BLVRA	47
BLVRB	61
BLZF1	59
BMF	69
BMI1	97
BMP10	0
BMP15	0
BMP1	13
BMP2K	166
BMP2	2
BMP3	4
BMP4	4
BMP5	0
BMP6	9
BMP7	57
BMP8A	43
BMP8B	6
BMPER	8
BMPR1A	130
BMPR1B	73
BMPR2	330
BMS1P1	301
BMS1	96
BMX	1
BNC1	0
BNC2	41
BNIP1	7
BNIP2	89
BNIP3L	205
BNIP3	111
BNIPL	17
BOC	38
BOD1L1	197
BOD1	22
BOK	94
BOLA1	12
BOLA2	233
BOLA3	9
BOLL	5
BOP1	18
BPESC1	0
BPGM	26
BPHL	12
BPIFB2	4
BPIFC	0
BPIFB6	0
BPI	0
BPNT1	50
BPTF	283
BPY2	0
BRAF	39
BRAP	31
BRCA1	45
BRCA2	23
BRCC3	32
BRD1	88
BRD2	212
BRD3	60
BRD4	102
BRD7	154
BRD8	81
BRD9	54
BRDT	2
BRE	23
BRF1	52
BRF2	13
BRI3BP	6
BRI3	47
BRIP1	35
BRIX1	42
BRMS1L	11
BRMS1	28
MPC1	77
MPC2	44
BRPF1	35
BRPF3	83
BRS3	0
BRSK1	42
BRSK2	17
BRWD1	351
BRWD3	74
BSCL2	24
BSDC1	109
BSG	233
BSND	0
BSN	47
BSPH1	0
BSPRY	25
BST1	4
BST2	59
BSX	0
BTAF1	189
BTBD10	64
BTBD11	57
SLX4	46
BTBD16	1
BTBD17	1
BTBD18	6
BTBD19	16
BTBD1	111
BTBD2	64
BTBD3	90
BTBD6	50
BTBD7	100
BTBD8	9
BTBD9	611
BTC	0
BTD	24
BTF3L4	93
BTF3	249
BTG1	125
BTG2	58
BTG3	17
BTG4	0
BTK	50
BTLA	0
BTN1A1	0
BTN2A1	40
BTN2A2	22
BTN2A3P	6
BTN3A1	74
BTN3A2	110
BTN3A3	39
BTNL2	0
BTNL3	0
BTNL8	0
BTNL9	18
BTRC	67
BUB1B	8
BUB1	13
BUB3	92
BUD13	14
BUD31	41
BVES	30
BYSL	13
BZRAP1	46
BZW1	417
BZW2	36
C10orf105	17
C10orf107	4
C10orf10	205
IDI2-AS1	5
C10orf113	0
CASC10	5
ADIRF	31
CCDC186	71
MCMBP	62
C10orf11	9
C10orf120	0
TEX36	0
FUOM	4
C10orf128	5
ACSM6	0
C10orf12	48
C10orf131	0
EDRF1	75
SKIDA1	12
FAM208B	197
WBP1L	83
TBATA	1
R3HCC1L	62
C10orf2	12
BORCS7	29
C10orf35	4
LINC01553	0
ZNF503-AS2	2
CACUL1	142
PROSER2	8
FRA10AC1	45
LINC00264	0
C10orf53	0
C10orf54	49
C10orf55	4
TMEM254	39
FAM213A	168
C10orf62	0
C10orf67	4
CCDC7	46
C10orf71	0
VSTM4	28
C10orf76	57
SFR1	26
CFAP43	17
PLEKHS1	3
