GENE	Sample1
LINC00293	4
BFAR	1280
BFSP1	70
BFSP2	1
BGLAP	50
BGN	4301
BHLHA15	2
BHLHB9	260
BHLHE22	32
BHLHE23	0
BHLHE40	12341
BHLHE41	617
BHMT2	141
BHMT	37
BICC1	649
BICD1	226
BICD2	842
BID	311
BIK	88
BIN1	121
BIN2	92
BIN3	286
BIRC2	1272
BIRC3	701
BIRC5	103
BIRC6	12996
BIRC7	1
BIRC8	0
BIVM	692
BLCAP	974
BLID	17
BLK	70
BLMH	559
BLM	177
BLNK	219
BLOC1S1	592
BLOC1S2	257
BLOC1S3	430
BLVRA	991
BLVRB	855
BLZF1	1675
BMF	470
BMI1	2701
BMP10	1
BMP15	1
BMP1	268
BMP2K	1061
BMP2	41
BMP3	159
BMP4	104
BMP5	31
BMP6	117
BMP7	95
BMP8A	455
BMP8B	171
BMPER	6
BMPR1A	2027
BMPR1B	234
BMPR2	6515
BMS1P1	7376
BMS1	2039
BMX	39
BNC1	10
BNC2	538
BNIP1	138
BNIP2	1363
BNIP3L	3632
BNIP3	1284
BNIPL	923
BOC	651
BOD1L1	4736
BOD1	935
BOK	1036
BOLA1	120
BOLA2	7685
BOLA3	91
BOLL	16
BOP1	324
BPESC1	1
BPGM	143
BPHL	403
BPIFB2	153
BPIFC	0
BPIFB6	2
BPI	7
BPNT1	1621
BPTF	6238
BPY2	0
BRAF	823
BRAP	644
BRCA1	638
BRCA2	567
BRCC3	709
BRD1	1477
BRD2	4992
BRD3	1898
BRD4	1919
BRD7	1096
BRD8	2336
BRD9	1050
BRDT	28
BRE	539
BRF1	613
BRF2	193
BRI3BP	236
BRI3	191
BRIP1	502
BRIX1	928
BRMS1L	249
BRMS1	2526
MPC1	875
MPC2	626
BRPF1	548
BRPF3	1718
BRS3	0
BRSK1	153
BRSK2	53
BRWD1	9897
BRWD3	1580
BSCL2	328
BSDC1	2600
BSG	2906
BSND	4
BSN	62
BSPH1	0
BSPRY	2076
BST1	71
BST2	346
BSX	0
BTAF1	3922
BTBD10	718
BTBD11	228
SLX4	718
BTBD16	0
BTBD17	1
BTBD18	57
BTBD19	62
BTBD1	1494
BTBD2	891
BTBD3	2086
BTBD6	605
BTBD7	2928
BTBD8	96
BTBD9	2544
BTC	27
BTD	306
BTF3L4	1501
BTF3	4219
BTG1	4600
BTG2	9117
BTG3	406
BTG4	0
BTK	95
BTLA	18
BTN1A1	4
BTN2A1	629
BTN2A2	243
BTN2A3P	47
BTN3A1	1438
BTN3A2	1292
BTN3A3	622
BTNL2	1
BTNL3	4
BTNL8	35
BTNL9	562
BTRC	750
BUB1B	242
BUB1	153
BUB3	2371
BUD13	170
BUD31	369
BVES	371
BYSL	181
BZRAP1	441
BZW1	7919
BZW2	1548
C10orf105	2
C10orf107	18
C10orf10	5615
IDI2-AS1	66
C10orf113	27
CASC10	1
ADIRF	492
CCDC186	1532
MCMBP	1239
C10orf11	44
C10orf120	0
TEX36	12
FUOM	36
C10orf128	38
ACSM6	26
C10orf12	907
C10orf131	59
EDRF1	1762
SKIDA1	210
FAM208B	4852
WBP1L	2130
TBATA	1
R3HCC1L	914
C10orf2	203
BORCS7	862
C10orf35	65
LINC01553	0
ZNF503-AS2	15
CACUL1	1564
PROSER2	39
FRA10AC1	1404
LINC00264	1
C10orf53	0
